City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Ampanihy,MG,2021-11-08 01:32:35,-24.7,44.75,71.92,57,34,6.85
153,Teya,RU,2021-11-08 01:26:37,60.3778,92.6267,29.73,87,100,13.27
154,Vardo,NO,2021-11-08 01:32:35,70.3705,31.1107,31.24,61,98,17.4
155,Sangar,RU,2021-11-08 01:32:35,63.9242,127.4739,0.36,93,100,15.64
156,Kuvandyk,RU,2021-11-08 01:32:36,51.4781,57.3552,34.81,66,100,3.98
157,Port Moresby,PG,2021-11-08 01:31:35,-9.4431,147.1797,90.82,62,1,5.75
158,Connersville,US,2021-11-08 01:32:36,39.6412,-85.1411,53.2,71,44,5.79
159,Avera,US,2021-11-08 01:32:36,33.194,-82.5271,51.71,49,0,6.53
160,Badulla,LK,2021-11-08 01:30:33,6.9895,81.0557,70.25,89,100,3.67
161,Cotonou,BJ,2021-11-08 01:32:37,6.3654,2.4183,76.98,94,20,2.3
162,Butaritari,KI,2021-11-08 01:24:11,3.0707,172.7902,82.31,68,1,11.81
163,Tiksi,RU,2021-11-08 01:25:18,71.6872,128.8694,12.24,79,100,20.83
164,Srednekolymsk,RU,2021-11-08 01:32:37,67.45,153.6833,4.33,95,100,6.71
165,Faranah,GN,2021-11-08 01:32:37,10.0404,-10.7434,71.58,95,96,2.51
166,Tocopilla,CL,2021-11-08 01:32:38,-22.092,-70.1979,65.43,67,12,8.61
167,Lompoc,US,2021-11-08 01:27:51,34.6391,-120.4579,67.78,73,40,11.5
168,Fortuna,US,2021-11-08 01:27:59,40.5982,-124.1573,53.94,70,1,0.0
169,Thompson,CA,2021-11-08 01:21:19,55.7435,-97.8558,37.56,81,75,4.61
170,Culiacan,MX,2021-11-08 01:32:18,24.7994,-107.3897,74.21,55,3,2.93
171,Chokurdakh,RU,2021-11-08 01:26:32,70.6333,147.9167,-14.57,94,100,6.26
172,Atyrau,KZ,2021-11-08 01:31:07,47.1167,51.8833,41.02,52,75,4.47
173,Pirawa,IN,2021-11-08 01:32:38,24.1551,76.0273,66.92,48,64,2.53
174,Banda Aceh,ID,2021-11-08 01:32:38,5.5577,95.3222,81.77,77,76,3.47
175,Mar Del Plata,AR,2021-11-08 01:24:49,-38.0023,-57.5575,59.88,83,0,15.01
176,West Chicago,US,2021-11-08 01:32:39,41.8847,-88.204,58.41,66,1,3.0
177,Butajira,ET,2021-11-08 01:32:39,8.1167,38.3667,56.71,43,42,4.9
178,Necochea,AR,2021-11-08 01:32:39,-38.5473,-58.7368,55.04,89,66,11.61
179,Nouadhibou,MR,2021-11-08 01:32:40,20.931,-17.0347,64.38,82,0,16.11
180,Jiangkou,CN,2021-11-08 01:32:40,25.4872,119.1986,60.69,82,100,5.95
181,Kupino,RU,2021-11-08 01:32:40,54.3663,77.2981,32.94,38,100,18.63
182,Bilibino,RU,2021-11-08 01:32:40,68.0546,166.4372,-2.9,98,61,2.93
183,Tay Ninh,VN,2021-11-08 01:32:41,11.3,106.1,83.23,76,55,5.44
184,Yulara,AU,2021-11-08 01:32:41,-25.2406,130.9889,66.04,94,90,10.36
185,Malaya Vishera,RU,2021-11-08 01:32:41,58.8454,32.2222,40.05,97,100,6.67
186,Avarua,CK,2021-11-08 01:26:36,-21.2078,-159.775,77.05,57,23,16.11
187,San Patricio,US,2021-11-08 01:26:35,28.017,-97.5169,70.83,69,0,8.21
188,Cap Malheureux,MU,2021-11-08 01:33:42,-19.9842,57.6142,75.69,77,18,5.99
189,Vaini,TO,2021-11-08 01:24:11,-21.2,-175.2,80.76,89,75,8.05
190,Broome,US,2021-11-08 01:26:30,42.2506,-75.833,44.67,69,0,2.71
191,Obidos,BR,2021-11-08 01:33:42,-1.9175,-55.5181,78.51,75,89,1.45
192,Cedar City,US,2021-11-08 01:33:42,37.6775,-113.0619,56.17,27,1,11.5
193,Conakry,GN,2021-11-08 01:33:43,9.538,-13.6773,80.67,83,40,2.3
194,Shimizu,JP,2021-11-08 01:33:43,43.0061,142.8847,42.55,82,92,3.38
195,Vrangel,RU,2021-11-08 01:33:43,42.7297,133.0839,47.77,86,100,25.48
196,Fairbanks,US,2021-11-08 01:29:53,64.8378,-147.7164,25.21,90,90,4.61
197,Tevaitoa,PF,2021-11-08 01:33:44,-16.7833,-151.5,78.71,76,19,9.91
198,Tukrah,LY,2021-11-08 01:33:44,32.5341,20.5791,68.83,54,98,6.04
199,Kungurtug,RU,2021-11-08 01:33:44,50.5994,97.5228,9.64,82,15,1.05
200,Eyl,SO,2021-11-08 01:33:44,7.9803,49.8164,74.46,80,17,8.88
201,Usakos,NA,2021-11-08 01:33:45,-22.0,15.6,56.75,57,6,5.3
202,Honiara,SB,2021-11-08 01:33:45,-9.4333,159.95,86.0,67,75,5.95
203,Dom Pedrito,BR,2021-11-08 01:33:45,-30.9828,-54.6731,56.52,88,5,6.8
204,Saint George,US,2021-11-08 01:33:46,37.1041,-113.5841,72.95,24,1,5.01
205,Coihueco,CL,2021-11-08 01:33:46,-36.6167,-71.8333,63.34,52,43,10.36
206,Carnarvon,AU,2021-11-08 01:24:09,-24.8667,113.6333,71.67,53,81,13.8
207,Novikovo,RU,2021-11-08 01:33:46,51.1537,37.8879,43.79,81,100,10.42
208,Wilmington Island,US,2021-11-08 01:33:46,32.0036,-80.9737,57.29,62,1,8.05
209,Emerald,AU,2021-11-08 01:33:47,-23.5333,148.1667,84.34,61,75,9.22
210,Longyearbyen,SJ,2021-11-08 01:25:17,78.2186,15.6401,13.84,67,75,6.91
211,Sibu,MY,2021-11-08 01:33:47,2.3,111.8167,82.71,83,20,3.0
